propinsi_code,propinsi_name,airport_code,airport_name,year,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total,keterangan
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (DOM),2020,1.809,1.813,3.622,157.995,165.534,323.529,532,904.353,832.514,1.736.867,4.553.460,778.885,5.332.345,0,134,134,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (DOM),2021,1.951,1.955,3.906,154.921,163.993,318.914,986,1.152.615,1.149.999,2.302.614,6.444.538,968.474,7.413.012,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (DOM),2022,3.14,3.147,6.287,205.223,209.629,414.852,17,1.832.037,1.676.924,3.508.961,5.821.631,1.191.904,7.013.535,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (DOM),2023,2.472,2.466,4.938,265.205,279.654,544.859,56,2.200.202,1.957.936,4.158.138,3.539.344,1.122.310,4.661.654,0,213,213,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (DOM),2024,3.446,3.504,6.95,291.961,327.289,619.25,54,2.624.464,2.394.260,5.018.724,6.526.733,1.551.219,8.077.952,239,4.932,5.171,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (INT),2020,293,289,582,27.505,26.096,53.601,3.727,290.995,195.384,486.379,1.57,9.243,10.813,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (INT),2021,35,34,69,0,6,6,1.379,0,0,0,0,24.537,24.537,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (INT),2022,107,91,198,8.295,8.926,17.221,0,128.516,103.887,232.403,68,0,68,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (INT),2023,645,647,1.292,66.208,76.846,143.054,0,698.721,549.654,1.248.375,2.6,11.868,14.468,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,A,SULTAN ISKANDAR MUDA - BANDA ACEH (INT),2024,889,880,1.769,99.542,109.063,208.605,0,1.256.834,840.309,2.097.143,8.51,27.788,36.298,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,B,CUT NYAK DHIEN - NAGAN RAYA,2020,123,123,246,5.557,5.055,10.612,0,20.548,12.117,32.665,3.3,574,3.874,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,B,CUT NYAK DHIEN - NAGAN RAYA,2021,18,18,36,847,855,1.702,0,4.638,3.868,8.506,0,0,0,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,B,CUT NYAK DHIEN - NAGAN RAYA,2022,126,126,252,6.537,7.079,13.616,0,40.987,38.073,79.06,0,0,0,0,0,0,Data 12 Bln
1,PROPINSI DAERAH ISTIMEWA ACEH,B,CUT NYAK DHIEN - NAGAN RAYA,2023,163,166,329,7.316,7.872,15.188,0,42.123,44.857,86.98,0,0,0,0,0,0,Data 12 Bln
