rute_id,kode_a,kode_b,kota_a,kota_b,kategori
AAP-BDJ,AAP,BDJ,Samarinda,Banjarmasin,DOMESTIK
AAP-BEJ,AAP,BEJ,Samarinda,Tanjung Redeb,DOMESTIK
AAP-CGK,AAP,CGK,Samarinda,Jakarta,DOMESTIK
AAP-DPS,AAP,DPS,Samarinda,Denpasar,DOMESTIK
AAP-GHS,AAP,GHS,Samarinda,Melak,DOMESTIK
AAP-HLP,AAP,HLP,Samarinda,Jakarta-HLP,DOMESTIK
AAP-JOG,AAP,JOG,Samarinda,Yogyakarta,DOMESTIK
AAP-SUB,AAP,SUB,Samarinda,Surabaya,DOMESTIK
AAP-TJS,AAP,TJS,Samarinda,Tanjung Selor,DOMESTIK
AAP-UPG,AAP,UPG,Samarinda,Makassar,DOMESTIK
AAP-YIA,AAP,YIA,Samarinda,Yogyakarta,DOMESTIK
ABU-KOE,ABU,KOE,Atambua,Kupang,DOMESTIK
ADD-CGK,ADD,CGK,Addis Ababa,Jakarta,INTERNASIONAL
ADL-DPS,ADL,DPS,Adelaide,Denpasar,INTERNASIONAL
AEG-KNO,AEG,KNO,Padang Sidempuan,Medan,DOMESTIK
AKL-DPS,AKL,DPS,Auckland,Denpasar,INTERNASIONAL
AMQ-BXB,AMQ,BXB,Ambon,Teluk Bintoni,DOMESTIK
AMQ-CGK,AMQ,CGK,Ambon,Jakarta,DOMESTIK
AMQ-DOB,AMQ,DOB,Ambon,Dobo,DOMESTIK
AMQ-DPS,AMQ,DPS,Ambon,Denpasar,DOMESTIK
AMQ-FKQ,AMQ,FKQ,Ambon,Fak-fak,DOMESTIK
AMQ-HLP,AMQ,HLP,Ambon,Jakarta-HLP,DOMESTIK
AMQ-JIO,AMQ,JIO,Ambon,Moa,DOMESTIK
AMQ-KFR,AMQ,KFR,,,DOMESTIK
AMQ-LUV,AMQ,LUV,Ambon,Langgur,DOMESTIK
AMQ-MDC,AMQ,MDC,Ambon,Manado,DOMESTIK
AMQ-NAM,AMQ,NAM,Ambon,Namlea,DOMESTIK
AMQ-NBX,AMQ,NBX,Ambon,Nabire,DOMESTIK
AMQ-NRE,AMQ,NRE,Ambon,Namrole,DOMESTIK
AMQ-SOQ,AMQ,SOQ,Ambon,Sorong,DOMESTIK
AMQ-SQN,AMQ,SQN,Ambon,Sanana,DOMESTIK
AMQ-SUB,AMQ,SUB,Ambon,Surabaya,DOMESTIK
AMQ-SXK,AMQ,SXK,Ambon,Saumlaki,DOMESTIK
AMQ-TTE,AMQ,TTE,Ambon,Ternate,DOMESTIK
AMQ-UPG,AMQ,UPG,Ambon,Makassar,DOMESTIK
AMS-CGK,AMS,CGK,Amsterdam,Jakarta,INTERNASIONAL
AMS-DPS,AMS,DPS,Amsterdam,Denpasar,INTERNASIONAL
AMS-KNO,AMS,KNO,Amsterdam,Medan,INTERNASIONAL
ARD-DPS,ARD,DPS,Alor,Denpasar,DOMESTIK
ARD-KOE,ARD,KOE,Alor,Kupang,DOMESTIK
AUH-CGK,AUH,CGK,Abu Dhabi,Jakarta,INTERNASIONAL
AUH-DPS,AUH,DPS,,,INTERNASIONAL
AVV-DPS,AVV,DPS,Geelong,Denpasar,INTERNASIONAL
BDJ-BDO,BDJ,BDO,Banjarmasin,Bandung,DOMESTIK
BDJ-BPN,BDJ,BPN,Banjarmasin,Balikpapan,DOMESTIK
BDJ-BTW,BDJ,BTW,Banjarmasin,Batulicin,DOMESTIK
BDJ-CGK,BDJ,CGK,Banjarmasin,Jakarta,DOMESTIK
BDJ-DPS,BDJ,DPS,Banjarmasin,Denpasar,DOMESTIK
BDJ-HMS,BDJ,HMS,Banjarmasin,Muara teweh,DOMESTIK
BDJ-JOG,BDJ,JOG,Banjarmasin,Yogyakarta,DOMESTIK
BDJ-KBU,BDJ,KBU,Banjarmasin,Kotabaru,DOMESTIK
BDJ-KJT,BDJ,KJT,Banjarmasin,Majalengka,DOMESTIK
BDJ-PKY,BDJ,PKY,,,DOMESTIK
BDJ-SMQ,BDJ,SMQ,Banjarmasin,Sampit,DOMESTIK
BDJ-SRG,BDJ,SRG,Banjarmasin,Semarang,DOMESTIK
BDJ-SUB,BDJ,SUB,Banjarmasin,Surabaya,DOMESTIK
BDJ-UPG,BDJ,UPG,Banjarmasin,Makassar,DOMESTIK
BDJ-YIA,BDJ,YIA,Banjarmasin,Yogyakarta,DOMESTIK
BDO-BKS,BDO,BKS,Bandung,Bengkulu,DOMESTIK
BDO-BPN,BDO,BPN,Bandung,Balikpapan,DOMESTIK
BDO-BTH,BDO,BTH,,,DOMESTIK
BDO-BWX,BDO,BWX,Bandung,Banyuwangi,DOMESTIK
BDO-CJN,BDO,CJN,,,DOMESTIK
BDO-DJB,BDO,DJB,Bandung,Jambi,DOMESTIK
BDO-DPS,BDO,DPS,Bandung,Denpasar,DOMESTIK
BDO-HLP,BDO,HLP,Bandung,Jakarta-HLP,DOMESTIK
BDO-JOG,BDO,JOG,Bandung,Yogyakarta,DOMESTIK
BDO-KNO,BDO,KNO,Bandung,Medan,DOMESTIK
BDO-KUL,BDO,KUL,Bandung,Kuala Lumpur,INTERNASIONAL
BDO-PKU,BDO,PKU,Bandung,Pekanbaru,DOMESTIK
BDO-PLM,BDO,PLM,Bandung,Palembang,DOMESTIK
BDO-SIN,BDO,SIN,Bandung,SINGAPURA,INTERNASIONAL
BDO-SOC,BDO,SOC,Bandung,Solo,DOMESTIK
BDO-SRG,BDO,SRG,Bandung,Semarang,DOMESTIK
BDO-SUB,BDO,SUB,Bandung,Surabaya,DOMESTIK
BDO-TJQ,BDO,TJQ,Bandung,Tanjung Pandan,DOMESTIK
BDO-TKG,BDO,TKG,Bandung,Bandar Lampung,DOMESTIK
BDO-UPG,BDO,UPG,Bandung,Makassar,DOMESTIK
BEJ-BPN,BEJ,BPN,Tanjung Redeb,Balikpapan,DOMESTIK
BEJ-CGK,BEJ,CGK,Tanjung Redeb,Jakarta,DOMESTIK
BEJ-SUB,BEJ,SUB,Tanjung Redeb,Surabaya,DOMESTIK
BEJ-TRK,BEJ,TRK,Tanjung Redeb,Tarakan,DOMESTIK
BEJ-YIA,BEJ,YIA,,,DOMESTIK
BIK-DJJ,BIK,DJJ,Biak,Jayapura,DOMESTIK
BIK-NBX,BIK,NBX,Biak,Nabire,DOMESTIK
BIK-SOQ,BIK,SOQ,,,DOMESTIK
BIK-UPG,BIK,UPG,Biak,Makassar,DOMESTIK
BIK-ZRI,BIK,ZRI,,,DOMESTIK
BJW-KOE,BJW,KOE,Bajawa,Kupang,DOMESTIK
BJW-LBJ,BJW,LBJ,Bajawa,Labuhan Bajo,DOMESTIK
BKI-BTH,BKI,BTH,,,INTERNASIONAL
BKI-CGK,BKI,CGK,,,INTERNASIONAL
BKI-DPS,BKI,DPS,,,INTERNASIONAL
BKI-MDC,BKI,MDC,Kota Kinabalu,Manado,INTERNASIONAL
BKK-CGK,BKK,CGK,Bangkok,Jakarta,INTERNASIONAL
BKK-DPS,BKK,DPS,Bangkok,Denpasar,INTERNASIONAL
BKS-BTH,BKS,BTH,Bengkulu,Batam,DOMESTIK
BKS-CGK,BKS,CGK,Bengkulu,Jakarta,DOMESTIK
BKS-HLP,BKS,HLP,Bengkulu,Jakarta-HLP,DOMESTIK
BKS-PDG,BKS,PDG,Bengkulu,Padang Pariaman,DOMESTIK
BKS-PLM,BKS,PLM,Bengkulu,Palembang,DOMESTIK
BKS-TKG,BKS,TKG,Bengkulu,Bandar Lampung,DOMESTIK
BLR-DPS,BLR,DPS,,,INTERNASIONAL
BMU-DPS,BMU,DPS,Bima,Denpasar,DOMESTIK
BMU-LBJ,BMU,LBJ,,,DOMESTIK
BMU-LOP,BMU,LOP,Bima,"Praya, Lombok",DOMESTIK
BMU-UPG,BMU,UPG,Bima,Makassar,DOMESTIK
BNE-DPS,BNE,DPS,Brisbane,Denpasar,INTERNASIONAL
BOM-CGK,BOM,CGK,,,INTERNASIONAL
BPN-BTH,BPN,BTH,,,DOMESTIK
BPN-BWN,BPN,BWN,,,INTERNASIONAL
BPN-CGK,BPN,CGK,Balikpapan,Jakarta,DOMESTIK
BPN-DHX,BPN,DHX,,,DOMESTIK
BPN-DPS,BPN,DPS,Balikpapan,Denpasar,DOMESTIK
BPN-GHS,BPN,GHS,Balikpapan,Melak,DOMESTIK
BPN-HLP,BPN,HLP,Balikpapan,Jakarta-HLP,DOMESTIK
BPN-JED,BPN,JED,Balikpapan,Jeddah,INTERNASIONAL
BPN-JOG,BPN,JOG,Balikpapan,Yogyakarta,DOMESTIK
BPN-KJT,BPN,KJT,Balikpapan,Majalengka,DOMESTIK
BPN-KNO,BPN,KNO,,,DOMESTIK
BPN-KUL,BPN,KUL,,,INTERNASIONAL
BPN-LNU,BPN,LNU,Balikpapan,Malinau,DOMESTIK
BPN-LOP,BPN,LOP,,,DOMESTIK
BPN-MDC,BPN,MDC,Balikpapan,Manado,DOMESTIK
BPN-MED,BPN,MED,Balikpapan,Medinah,INTERNASIONAL
BPN-MJU,BPN,MJU,Balikpapan,Mamuju,DOMESTIK
BPN-PDG,BPN,PDG,Balikpapan,Padang Pariaman,DOMESTIK
BPN-PKY,BPN,PKY,Balikpapan,Palangkaraya,DOMESTIK
BPN-PLW,BPN,PLW,Balikpapan,Palu,DOMESTIK
BPN-PNK,BPN,PNK,Balikpapan,Pontianak,DOMESTIK
BPN-SIN,BPN,SIN,Balikpapan,SINGAPURA,INTERNASIONAL
BPN-SOC,BPN,SOC,,,DOMESTIK
BPN-SRG,BPN,SRG,Balikpapan,Semarang,DOMESTIK
BPN-SUB,BPN,SUB,Balikpapan,Surabaya,DOMESTIK
BPN-TJS,BPN,TJS,Balikpapan,Tanjung Selor,DOMESTIK
BPN-TRK,BPN,TRK,Balikpapan,Tarakan,DOMESTIK
BPN-TRT,BPN,TRT,,,DOMESTIK
BPN-UPG,BPN,UPG,Balikpapan,Makassar,DOMESTIK
BPN-YIA,BPN,YIA,Balikpapan,Yogyakarta,DOMESTIK
BTH-BTJ,BTH,BTJ,,,DOMESTIK
BTH-CGK,BTH,CGK,Batam,Jakarta,DOMESTIK
BTH-DJB,BTH,DJB,Batam,Jambi,DOMESTIK
BTH-DTB,BTH,DTB,Batam,Siborong-borong,DOMESTIK
BTH-DUM,BTH,DUM,Batam,Dumai,DOMESTIK
BTH-HLP,BTH,HLP,Batam,Jakarta-HLP,DOMESTIK
BTH-ICN,BTH,ICN,,,INTERNASIONAL
BTH-JOG,BTH,JOG,Batam,Yogyakarta,DOMESTIK
BTH-KJT,BTH,KJT,Batam,Majalengka,DOMESTIK
BTH-KNO,BTH,KNO,Batam,Medan,DOMESTIK
BTH-KUL,BTH,KUL,,,INTERNASIONAL
BTH-LMU,BTH,LMU,Batam,Anambas,DOMESTIK
BTH-LOP,BTH,LOP,,,DOMESTIK
BTH-MWK,BTH,MWK,Batam,Matak,DOMESTIK
BTH-NTX,BTH,NTX,Batam,NATUNA,DOMESTIK
BTH-PDG,BTH,PDG,Batam,Padang Pariaman,DOMESTIK
BTH-PEN,BTH,PEN,,,INTERNASIONAL
BTH-PGK,BTH,PGK,Batam,Pangkal Pinang,DOMESTIK
BTH-PKU,BTH,PKU,Batam,Pekanbaru,DOMESTIK
BTH-PLM,BTH,PLM,Batam,Palembang,DOMESTIK
BTH-PNK,BTH,PNK,Batam,Pontianak,DOMESTIK
BTH-SIQ,BTH,SIQ,Batam,Singkep,DOMESTIK
BTH-SRG,BTH,SRG,Batam,Semarang,DOMESTIK
BTH-SUB,BTH,SUB,Batam,Surabaya,DOMESTIK
BTH-SZB,BTH,SZB,Batam,Subang,INTERNASIONAL
BTH-SZX,BTH,SZX,Batam,Shenzhen,INTERNASIONAL
BTH-TKG,BTH,TKG,Batam,Bandar Lampung,DOMESTIK
BTH-TNJ,BTH,TNJ,Batam,Tanjung Pinang,DOMESTIK
BTH-XIY,BTH,XIY,Batam,Xian,INTERNASIONAL
BTH-YIA,BTH,YIA,Batam,Yogyakarta,DOMESTIK
BTJ-BTJ,BTJ,BTJ,,,DOMESTIK
BTJ-CGK,BTJ,CGK,Banda Aceh,Jakarta,DOMESTIK
BTJ-KNO,BTJ,KNO,Banda Aceh,Medan,DOMESTIK
BTJ-KUL,BTJ,KUL,Banda Aceh,Kuala Lumpur,INTERNASIONAL
BTJ-PEN,BTJ,PEN,Banda Aceh,Penang,INTERNASIONAL
BTW-UPG,BTW,UPG,Batulicin,Makassar,DOMESTIK
BUU-CGK,BUU,CGK,Bungo,Jakarta,DOMESTIK
BUU-DJB,BUU,DJB,Bungo,Jambi,DOMESTIK
BUU-KRC,BUU,KRC,Bungo,Kerinci,DOMESTIK
BUW-KDI,BUW,KDI,Bau Bau,Kendari,DOMESTIK
BUW-UPG,BUW,UPG,Bau Bau,Makassar,DOMESTIK
BUW-WNI,BUW,WNI,,,DOMESTIK
BWN-CGK,BWN,CGK,BANDAR SRI BEGAWAN,Jakarta,INTERNASIONAL
BWN-DPS,BWN,DPS,BANDAR SRI BEGAWAN,Denpasar,INTERNASIONAL
BWN-SUB,BWN,SUB,BANDAR SRI BEGAWAN,Surabaya,INTERNASIONAL
BWX-CGK,BWX,CGK,Banyuwangi,Jakarta,DOMESTIK
BWX-DPS,BWX,DPS,Banyuwangi,Denpasar,DOMESTIK
BWX-SUB,BWX,SUB,Banyuwangi,Surabaya,DOMESTIK
BXB-FKQ,BXB,FKQ,Teluk Bintoni,Fak-fak,DOMESTIK
BXB-SOQ,BXB,SOQ,Teluk Bintoni,Sorong,DOMESTIK
CAI-CGK,CAI,CGK,,,INTERNASIONAL
CAN-CGK,CAN,CGK,Guangzhou,Jakarta,INTERNASIONAL
CAN-DPS,CAN,DPS,Guangzhou,Denpasar,INTERNASIONAL
CAN-MDC,CAN,MDC,Guangzhou,Manado,INTERNASIONAL
CBR-DPS,CBR,DPS,,,INTERNASIONAL
CGK-CMB,CGK,CMB,Jakarta,Colombo,INTERNASIONAL
CGK-CTU,CGK,CTU,,,INTERNASIONAL
CGK-DHX,CGK,DHX,,,DOMESTIK
CGK-DJB,CGK,DJB,Jakarta,Jambi,DOMESTIK
CGK-DJJ,CGK,DJJ,Jakarta,Jayapura,DOMESTIK
CGK-DMK,CGK,DMK,Jakarta,Bangkok-Don Mueang,INTERNASIONAL
CGK-DOH,CGK,DOH,,,DOMESTIK
CGK-DOH,CGK,DOH,Jakarta,Doha,INTERNASIONAL
CGK-DPS,CGK,DPS,Jakarta,Denpasar,DOMESTIK
CGK-DPS,CGK,DPS,,,INTERNASIONAL
CGK-DTB,CGK,DTB,Jakarta,Siborong-borong,DOMESTIK
CGK-DWC,CGK,DWC,,,INTERNASIONAL
CGK-DXB,CGK,DXB,Jakarta,Dubai,INTERNASIONAL
CGK-FLZ,CGK,FLZ,Jakarta,Sibolga,DOMESTIK
CGK-FOC,CGK,FOC,Jakarta,Fuzhou,INTERNASIONAL
CGK-GNS,CGK,GNS,Jakarta,Gunung Sitoli,DOMESTIK
CGK-GTO,CGK,GTO,Jakarta,Gorontalo,DOMESTIK
CGK-HAK,CGK,HAK,Jakarta,Haikou,INTERNASIONAL
CGK-HAN,CGK,HAN,,,INTERNASIONAL
CGK-HGH,CGK,HGH,,,INTERNASIONAL
CGK-HKG,CGK,HKG,Jakarta,Hongkong,INTERNASIONAL
CGK-HND,CGK,HND,Jakarta,Haneda,INTERNASIONAL
CGK-ICN,CGK,ICN,Jakarta,Incheon,INTERNASIONAL
CGK-IST,CGK,IST,Jakarta,Istanbul,INTERNASIONAL
CGK-JED,CGK,JED,Jakarta,Jeddah,INTERNASIONAL
CGK-JHB,CGK,JHB,Jakarta,Johor Baru,INTERNASIONAL
CGK-JOG,CGK,JOG,Jakarta,Yogyakarta,DOMESTIK
CGK-KCH,CGK,KCH,,,INTERNASIONAL
CGK-KDI,CGK,KDI,Jakarta,Kendari,DOMESTIK
CGK-KIX,CGK,KIX,Jakarta,Osaka,INTERNASIONAL
CGK-KJT,CGK,KJT,Jakarta,Majalengka,DOMESTIK
CGK-KMG,CGK,KMG,Jakarta,Kunming,INTERNASIONAL
CGK-KNO,CGK,KNO,Jakarta,Medan,DOMESTIK
CGK-KOE,CGK,KOE,Jakarta,Kupang,DOMESTIK
CGK-KUL,CGK,KUL,Jakarta,Kuala Lumpur,INTERNASIONAL
CGK-KWL,CGK,KWL,,,INTERNASIONAL
CGK-LBJ,CGK,LBJ,Jakarta,Labuhan Bajo,DOMESTIK
CGK-LLJ,CGK,LLJ,Jakarta,Lubuk Linggau,DOMESTIK
CGK-LOP,CGK,LOP,Jakarta,"Praya, Lombok",DOMESTIK
CGK-MCT,CGK,MCT,Jakarta,Muscat,INTERNASIONAL
CGK-MDC,CGK,MDC,Jakarta,Manado,DOMESTIK
CGK-MED,CGK,MED,Jakarta,Medinah,INTERNASIONAL
CGK-MEL,CGK,MEL,Jakarta,Melbourne,INTERNASIONAL
CGK-MFM,CGK,MFM,,,INTERNASIONAL
CGK-MKW,CGK,MKW,Jakarta,Manokwari,DOMESTIK
CGK-MLG,CGK,MLG,Jakarta,Malang,DOMESTIK
CGK-MNL,CGK,MNL,Jakarta,Manila,INTERNASIONAL
CGK-NGO,CGK,NGO,Jakarta,Nagoya,INTERNASIONAL
CGK-NKG,CGK,NKG,,,INTERNASIONAL
CGK-NNG,CGK,NNG,Jakarta,Nanning,INTERNASIONAL
CGK-NRT,CGK,NRT,Jakarta,Narita,INTERNASIONAL
CGK-PDG,CGK,PDG,Jakarta,Padang Pariaman,DOMESTIK
CGK-PEK,CGK,PEK,Jakarta,Beijing,INTERNASIONAL
CGK-PEN,CGK,PEN,Jakarta,Penang,INTERNASIONAL
CGK-PER,CGK,PER,Jakarta,Perth,INTERNASIONAL
CGK-PGK,CGK,PGK,Jakarta,Pangkal Pinang,DOMESTIK
CGK-PKN,CGK,PKN,Jakarta,Pangkalan Bun,DOMESTIK
CGK-PKU,CGK,PKU,Jakarta,Pekanbaru,DOMESTIK
CGK-PKY,CGK,PKY,Jakarta,Palangkaraya,DOMESTIK
CGK-PLM,CGK,PLM,Jakarta,Palembang,DOMESTIK
CGK-PLW,CGK,PLW,Jakarta,Palu,DOMESTIK
CGK-PNH,CGK,PNH,Jakarta,Phnom Penh,INTERNASIONAL
CGK-PNK,CGK,PNK,Jakarta,Pontianak,DOMESTIK
CGK-PVG,CGK,PVG,Jakarta,Pudong,INTERNASIONAL
CGK-RUH,CGK,RUH,Jakarta,Riyadh,INTERNASIONAL
CGK-SGN,CGK,SGN,Jakarta,Ho Chi Minh City,INTERNASIONAL
CGK-SIN,CGK,SIN,Jakarta,SINGAPURA,INTERNASIONAL
CGK-SMQ,CGK,SMQ,Jakarta,Sampit,DOMESTIK
CGK-SOC,CGK,SOC,Jakarta,Solo,DOMESTIK
CGK-SOQ,CGK,SOQ,Jakarta,Sorong,DOMESTIK
CGK-SRG,CGK,SRG,Jakarta,Semarang,DOMESTIK
CGK-SRI,CGK,SRI,Jakarta,Samarinda,DOMESTIK
CGK-SUB,CGK,SUB,Jakarta,Surabaya,DOMESTIK
CGK-SUB,CGK,SUB,,,INTERNASIONAL
CGK-SYD,CGK,SYD,Jakarta,Sydney,INTERNASIONAL
CGK-SZB,CGK,SZB,,,INTERNASIONAL
CGK-SZX,CGK,SZX,Jakarta,Shenzhen,INTERNASIONAL
CGK-TAS,CGK,TAS,Jakarta,Tashkent,INTERNASIONAL
CGK-TFU,CGK,TFU,,,INTERNASIONAL
CGK-TIM,CGK,TIM,Jakarta,Timika,DOMESTIK
CGK-TJQ,CGK,TJQ,Jakarta,Tanjung Pandan,DOMESTIK
CGK-TKG,CGK,TKG,Jakarta,Bandar Lampung,DOMESTIK
CGK-TNJ,CGK,TNJ,Jakarta,Tanjung Pinang,DOMESTIK
CGK-TPE,CGK,TPE,Jakarta,Taipei,INTERNASIONAL
CGK-TRK,CGK,TRK,Jakarta,Tarakan,DOMESTIK
CGK-TTE,CGK,TTE,Jakarta,Ternate,DOMESTIK
CGK-UPG,CGK,UPG,Jakarta,Makassar,DOMESTIK
CGK-WNZ,CGK,WNZ,,,INTERNASIONAL
CGK-WUH,CGK,WUH,Jakarta,Wuhan,INTERNASIONAL
CGK-XMN,CGK,XMN,Jakarta,Xiamen,INTERNASIONAL
CGK-YIA,CGK,YIA,Jakarta,Yogyakarta,DOMESTIK
CGO-DPS,CGO,DPS,Zhengshou,Denpasar,INTERNASIONAL
CJN-HLP,CJN,HLP,PANGANDARAN,Jakarta-HLP,DOMESTIK
CJN-PCB,CJN,PCB,,,DOMESTIK
CNS-DPS,CNS,DPS,Cairns,Denpasar,INTERNASIONAL
CPF-HLP,CPF,HLP,Cepu,Jakarta-HLP,DOMESTIK
CPF-PCB,CPF,PCB,,,DOMESTIK
CPF-SUB,CPF,SUB,,,DOMESTIK
CSX-DPS,CSX,DPS,Changsha,Denpasar,INTERNASIONAL
CSX-MDC,CSX,MDC,Changsha,Manado,INTERNASIONAL
CXP-HLP,CXP,HLP,Cilacap,Jakarta-HLP,DOMESTIK
DEL-DPS,DEL,DPS,,,INTERNASIONAL
DEX-DJJ,DEX,DJJ,Yahukimo,Jayapura,DOMESTIK
DEX-WMX,DEX,WMX,Yahukimo,Wamena,DOMESTIK
DIL-DPS,DIL,DPS,DILI,Denpasar,INTERNASIONAL
DIL-KOE,DIL,KOE,DILI,Kupang,INTERNASIONAL
DJB-HLP,DJB,HLP,Jambi,Jakarta-HLP,DOMESTIK
DJB-KNO,DJB,KNO,Jambi,Medan,DOMESTIK
DJB-PDG,DJB,PDG,Jambi,Padang Pariaman,DOMESTIK
DJB-PKU,DJB,PKU,Jambi,Pekanbaru,DOMESTIK
DJB-PLM,DJB,PLM,Jambi,Palembang,DOMESTIK
DJB-TKG,DJB,TKG,Jambi,Bandar Lampung,DOMESTIK
DJB-YIA,DJB,YIA,,,DOMESTIK
DJJ-HLP,DJJ,HLP,Jayapura,Jakarta-HLP,DOMESTIK
DJJ-MKQ,DJJ,MKQ,Jayapura,Merauke,DOMESTIK
DJJ-MKW,DJJ,MKW,Jayapura,Manokwari,DOMESTIK
DJJ-NBX,DJJ,NBX,Jayapura,Nabire,DOMESTIK
DJJ-OKL,DJJ,OKL,Jayapura,Oksibil,DOMESTIK
DJJ-RTA,DJJ,RTA,,,DOMESTIK
DJJ-RTB,DJJ,RTB,,,DOMESTIK
DJJ-SOQ,DJJ,SOQ,Jayapura,Sorong,DOMESTIK
DJJ-SUB,DJJ,SUB,Jayapura,Surabaya,DOMESTIK
DJJ-TIM,DJJ,TIM,Jayapura,Timika,DOMESTIK
DJJ-TMH,DJJ,TMH,Jayapura,Tanah Merah,DOMESTIK
DJJ-UPG,DJJ,UPG,Jayapura,Makassar,DOMESTIK
DJJ-WMX,DJJ,WMX,Jayapura,Wamena,DOMESTIK
DJJ-ZRI,DJJ,ZRI,Jayapura,Serui,DOMESTIK
DMK-DPS,DMK,DPS,Bangkok-Don Mueang,Denpasar,INTERNASIONAL
DMK-KNO,DMK,KNO,Bangkok-Don Mueang,Medan,INTERNASIONAL
DOB-LUV,DOB,LUV,Dobo,Langgur,DOMESTIK
