waktu_id,avg_kurs_jual,avg_kurs_beli,avg_kurs_tengah,min_kurs_tengah,max_kurs_tengah,jumlah_hari_trading
202001,13800.89,13663.57,13732.23,13612.0,13961.0,22
202002,13845.03,13707.27,13776.15,13647.0,14234.0,20
202003,15270.55,15118.6,15194.57,14168.0,16608.0,21
202004,15946.77,15788.09,15867.43,15157.0,16741.0,21
202005,14980.72,14831.66,14906.19,14733.0,15127.0,16
202006,14266.93,14124.98,14195.96,13956.0,14502.0,21
202007,14655.32,14509.5,14582.41,14341.0,14832.0,22
202008,14798.12,14650.88,14724.5,14554.0,14917.0,18
202009,14922.2,14773.72,14847.96,14615.0,14979.0,22
202010,14822.88,14675.39,14749.14,14658.0,14890.0,22
202011,14308.0,14165.63,14236.81,14015.0,14718.0,21
202012,14243.95,14102.22,14173.09,14102.0,14282.0,23
202101,14132.21,13991.59,14061.9,13903.0,14231.0,20
202102,14112.31,13971.89,14042.1,13875.0,14229.0,20
202103,14489.48,14345.31,14417.39,14299.0,14572.0,23
202104,14630.98,14485.39,14558.18,14468.0,14648.0,22
202105,14394.81,14251.58,14323.19,14198.0,14467.0,21
202106,14409.92,14266.54,14338.23,14206.0,14496.0,22
202107,14583.75,14438.64,14511.19,14468.0,14564.0,21
202108,14469.69,14325.71,14397.7,14324.0,14464.0,20
202109,14328.24,14185.67,14256.96,14195.0,14307.0,22
202110,14269.45,14127.46,14198.45,14080.0,14321.0,20
202111,14334.82,14192.19,14263.5,14171.0,14374.0,22
202112,14400.56,14257.27,14328.92,14219.0,14441.0,23
202201,14406.92,14263.56,14335.24,14270.0,14396.0,21
202202,14422.81,14279.3,14351.06,14278.0,14404.0,18
202203,14420.38,14276.9,14348.64,14290.0,14411.0,22
202204,14440.58,14296.9,14368.74,14347.0,14452.0,19
202205,14681.04,14534.96,14608.0,14480.0,14731.0,15
202206,14762.02,14615.13,14688.57,14431.0,14860.0,21
202207,15059.3,14909.46,14984.38,14882.0,15024.0,21
202208,14924.89,14776.38,14850.64,14688.0,14929.0,22
202209,15046.63,14896.91,14971.77,14839.0,15247.0,22
202210,15494.56,15340.39,15417.48,15196.0,15616.0,21
202211,15737.02,15580.43,15658.73,15493.0,15737.0,22
202212,15693.07,15536.93,15615.0,15409.0,15742.0,22
202301,15371.71,15218.76,15295.24,14930.0,15635.0,21
202302,15201.63,15050.37,15126.0,14868.0,15274.0,20
202303,15377.22,15224.21,15300.71,15062.0,15468.0,21
202304,14941.05,14792.38,14866.71,14666.0,14990.0,14
202305,14884.91,14736.8,14810.86,14632.0,14973.0,21
202306,15006.66,14857.34,14932.0,14839.0,15040.0,17
202307,15114.95,14964.55,15039.75,14945.0,15192.0,20
202308,15321.36,15168.91,15245.14,15092.0,15346.0,22
202309,15430.97,15277.43,15354.2,15237.0,15526.0,20
202310,15819.93,15662.52,15741.23,15487.0,15943.0,22
202311,15695.5,15539.32,15617.41,15384.0,15946.0,22
202312,15590.94,15435.8,15513.37,15414.0,15631.0,19
202401,15688.87,15532.77,15610.82,15439.0,15829.0,22
202402,15743.66,15587.01,15665.33,15585.0,15803.0,18
202403,15781.12,15624.1,15702.61,15576.0,15853.0,18
202404,16180.5,16019.5,16100.0,15873.0,16280.0,16
202405,16164.36,16003.52,16083.94,15944.0,16276.0,18
202406,16411.04,16247.74,16329.39,16218.0,16458.0,18
202407,16342.96,16180.34,16261.65,16129.0,16394.0,23
202408,15872.15,15714.22,15793.18,15380.0,16294.0,22
202409,15417.95,15264.55,15341.25,15092.0,15557.0,20
202410,15619.06,15463.64,15541.35,15144.0,15760.0,23
202411,15891.41,15733.29,15812.35,15671.0,15942.0,20
202412,16103.62,15943.38,16023.5,15848.0,16277.0,20
