waktu_id,rute_id,kategori,jumlah_penumpang
202001,AAP-BEJ,DOMESTIK,4087
202001,AAP-CGK,DOMESTIK,25924
202001,AAP-DPS,DOMESTIK,4398
202001,AAP-GHS,DOMESTIK,2056
202001,AAP-HLP,DOMESTIK,6637
202001,AAP-JOG,DOMESTIK,12001
202001,AAP-SUB,DOMESTIK,35914
202001,AAP-TJS,DOMESTIK,601
202001,AAP-UPG,DOMESTIK,7228
202001,AAP-YIA,DOMESTIK,2605
202001,ABU-KOE,DOMESTIK,7234
202001,ADD-CGK,INTERNASIONAL,1995
202001,ADL-DPS,INTERNASIONAL,20564
202001,AEG-KNO,DOMESTIK,2550
202001,AKL-DPS,INTERNASIONAL,8765
202001,AMQ-CGK,DOMESTIK,9730
202001,AMQ-DOB,DOMESTIK,1264
202001,AMQ-DPS,DOMESTIK,1404
202001,AMQ-HLP,DOMESTIK,6695
202001,AMQ-JIO,DOMESTIK,1540
202001,AMQ-LUV,DOMESTIK,6862
202001,AMQ-MDC,DOMESTIK,1001
202001,AMQ-NAM,DOMESTIK,2593
202001,AMQ-NBX,DOMESTIK,2510
202001,AMQ-NRE,DOMESTIK,1743
202001,AMQ-SOQ,DOMESTIK,7830
202001,AMQ-SQN,DOMESTIK,581
202001,AMQ-SUB,DOMESTIK,8465
202001,AMQ-SXK,DOMESTIK,4371
202001,AMQ-TTE,DOMESTIK,2657
202001,AMQ-UPG,DOMESTIK,31117
202001,AMS-KNO,INTERNASIONAL,10003
202001,ARD-DPS,DOMESTIK,774
202001,ARD-KOE,DOMESTIK,7874
202001,AUH-CGK,INTERNASIONAL,33635
202001,AVV-DPS,INTERNASIONAL,1095
202001,BDJ-BPN,DOMESTIK,23336
202001,BDJ-BTW,DOMESTIK,3478
202001,BDJ-CGK,DOMESTIK,97185
202001,BDJ-DPS,DOMESTIK,7881
202001,BDJ-JOG,DOMESTIK,14829
202001,BDJ-KBU,DOMESTIK,7023
202001,BDJ-KJT,DOMESTIK,6495
202001,BDJ-SRG,DOMESTIK,18140
202001,BDJ-SUB,DOMESTIK,86874
202001,BDJ-UPG,DOMESTIK,8563
202001,BDJ-YIA,DOMESTIK,3561
202001,BDO-BKS,DOMESTIK,423
202001,BDO-BWX,DOMESTIK,381
202001,BDO-DJB,DOMESTIK,593
202001,BDO-HLP,DOMESTIK,14667
202001,BDO-JOG,DOMESTIK,9299
202001,BDO-KUL,INTERNASIONAL,30865
202001,BDO-PLM,DOMESTIK,1303
202001,BDO-SIN,INTERNASIONAL,19355
202001,BDO-SOC,DOMESTIK,1529
202001,BDO-SRG,DOMESTIK,7722
202001,BDO-SUB,DOMESTIK,13191
202001,BDO-TJQ,DOMESTIK,99
202001,BDO-TKG,DOMESTIK,7200
202001,BEJ-BPN,DOMESTIK,30193
202001,BEJ-TRK,DOMESTIK,915
202001,BIK-DJJ,DOMESTIK,10565
202001,BIK-NBX,DOMESTIK,2775
202001,BIK-UPG,DOMESTIK,11440
202001,BJW-KOE,DOMESTIK,7325
202001,BJW-LBJ,DOMESTIK,2873
202001,BKI-MDC,INTERNASIONAL,876
202001,BKK-CGK,INTERNASIONAL,38723
202001,BKK-DPS,INTERNASIONAL,17127
202001,BKS-BTH,DOMESTIK,1509
202001,BKS-CGK,DOMESTIK,52549
202001,BKS-HLP,DOMESTIK,6074
202001,BKS-PDG,DOMESTIK,1800
202001,BKS-PLM,DOMESTIK,3328
202001,BKS-TKG,DOMESTIK,1260
202001,BMU-DPS,DOMESTIK,8978
202001,BMU-LOP,DOMESTIK,15828
202001,BMU-UPG,DOMESTIK,1783
202001,BNE-DPS,INTERNASIONAL,34541
202001,BPN-CGK,DOMESTIK,102589
202001,BPN-DPS,DOMESTIK,7158
202001,BPN-GHS,DOMESTIK,2946
202001,BPN-HLP,DOMESTIK,14243
202001,BPN-JED,INTERNASIONAL,1295
202001,BPN-JOG,DOMESTIK,35149
202001,BPN-KJT,DOMESTIK,4815
202001,BPN-LNU,DOMESTIK,2714
202001,BPN-MDC,DOMESTIK,6804
202001,BPN-MED,INTERNASIONAL,429
202001,BPN-MJU,DOMESTIK,2149
202001,BPN-PKY,DOMESTIK,4650
202001,BPN-PLW,DOMESTIK,9399
202001,BPN-PNK,DOMESTIK,4935
202001,BPN-SIN,INTERNASIONAL,3407
202001,BPN-SRG,DOMESTIK,9169
202001,BPN-SUB,DOMESTIK,85368
202001,BPN-TJS,DOMESTIK,3280
202001,BPN-TRK,DOMESTIK,34099
202001,BPN-UPG,DOMESTIK,37938
202001,BTH-CGK,DOMESTIK,101015
202001,BTH-DJB,DOMESTIK,11314
202001,BTH-DTB,DOMESTIK,4765
202001,BTH-DUM,DOMESTIK,3436
202001,BTH-HLP,DOMESTIK,7210
202001,BTH-JOG,DOMESTIK,11175
202001,BTH-KJT,DOMESTIK,8414
202001,BTH-KNO,DOMESTIK,56660
202001,BTH-LMU,DOMESTIK,1648
202001,BTH-MWK,DOMESTIK,756
202001,BTH-NTX,DOMESTIK,5402
202001,BTH-PDG,DOMESTIK,34169
202001,BTH-PGK,DOMESTIK,9053
202001,BTH-PKU,DOMESTIK,44223
202001,BTH-PLM,DOMESTIK,17640
202001,BTH-PNK,DOMESTIK,21543
202001,BTH-SIQ,DOMESTIK,1283
202001,BTH-SRG,DOMESTIK,7810
202001,BTH-SUB,DOMESTIK,37476
202001,BTH-SZB,INTERNASIONAL,2095
202001,BTH-SZX,INTERNASIONAL,2209
202001,BTH-TKG,DOMESTIK,6540
202001,BTH-TNJ,DOMESTIK,2592
202001,BTH-XIY,INTERNASIONAL,1776
202001,BTJ-CGK,DOMESTIK,27337
202001,BTJ-KNO,DOMESTIK,28442
202001,BTJ-KUL,INTERNASIONAL,19404
202001,BTJ-PEN,INTERNASIONAL,2352
202001,BTW-UPG,DOMESTIK,2714
202001,BUU-CGK,DOMESTIK,4318
202001,BUU-DJB,DOMESTIK,3206
202001,BUU-KRC,DOMESTIK,1462
202001,BUW-KDI,DOMESTIK,3455
202001,BUW-UPG,DOMESTIK,12866
202001,BWN-CGK,INTERNASIONAL,6148
202001,BWN-DPS,INTERNASIONAL,3182
202001,BWN-SUB,INTERNASIONAL,6369
202001,BWX-CGK,DOMESTIK,15470
202001,BWX-SUB,DOMESTIK,4744
202001,BXB-SOQ,DOMESTIK,13766
202001,CAN-CGK,INTERNASIONAL,24445
202001,CAN-DPS,INTERNASIONAL,41111
202001,CAN-MDC,INTERNASIONAL,4862
202001,CGK-CMB,INTERNASIONAL,10245
202001,CGK-DJB,DOMESTIK,86746
202001,CGK-DJJ,DOMESTIK,17851
202001,CGK-DMK,INTERNASIONAL,49723
202001,CGK-DOH,INTERNASIONAL,34352
202001,CGK-DPS,DOMESTIK,363789
202001,CGK-DTB,DOMESTIK,25578
202001,CGK-DXB,INTERNASIONAL,43233
202001,CGK-FLZ,DOMESTIK,5690
202001,CGK-FOC,INTERNASIONAL,7605
202001,CGK-GNS,DOMESTIK,4604
202001,CGK-GTO,DOMESTIK,5940
202001,CGK-HAK,INTERNASIONAL,3776
202001,CGK-HKG,INTERNASIONAL,57831
202001,CGK-HND,INTERNASIONAL,36738
202001,CGK-ICN,INTERNASIONAL,42487
202001,CGK-IST,INTERNASIONAL,20193
202001,CGK-JED,INTERNASIONAL,110475
202001,CGK-JHB,INTERNASIONAL,3486
202001,CGK-JOG,DOMESTIK,167101
202001,CGK-KDI,DOMESTIK,22176
202001,CGK-KIX,INTERNASIONAL,2838
202001,CGK-KJT,DOMESTIK,1546
202001,CGK-KMG,INTERNASIONAL,2906
202001,CGK-KNO,DOMESTIK,282851
202001,CGK-KOE,DOMESTIK,8810
202001,CGK-KUL,INTERNASIONAL,229241
202001,CGK-LBJ,DOMESTIK,10752
202001,CGK-LLJ,DOMESTIK,11184
202001,CGK-LOP,DOMESTIK,64591
202001,CGK-MCT,INTERNASIONAL,16335
202001,CGK-MDC,DOMESTIK,64793
202001,CGK-MED,INTERNASIONAL,28215
202001,CGK-MEL,INTERNASIONAL,7721
202001,CGK-MKW,DOMESTIK,6189
202001,CGK-MLG,DOMESTIK,29931
202001,CGK-MNL,INTERNASIONAL,16284
202001,CGK-NGO,INTERNASIONAL,3192
202001,CGK-NNG,INTERNASIONAL,1049
202001,CGK-NRT,INTERNASIONAL,32799
202001,CGK-PDG,DOMESTIK,129371
202001,CGK-PEK,INTERNASIONAL,6369
202001,CGK-PEN,INTERNASIONAL,30464
202001,CGK-PER,INTERNASIONAL,4775
202001,CGK-PGK,DOMESTIK,95975
202001,CGK-PKN,DOMESTIK,11955
202001,CGK-PKU,DOMESTIK,133492
202001,CGK-PKY,DOMESTIK,33876
202001,CGK-PLM,DOMESTIK,140391
202001,CGK-PLW,DOMESTIK,21257
202001,CGK-PNH,INTERNASIONAL,2197
202001,CGK-PNK,DOMESTIK,159707
202001,CGK-PVG,INTERNASIONAL,16929
202001,CGK-RUH,INTERNASIONAL,10135
202001,CGK-SGN,INTERNASIONAL,7602
202001,CGK-SIN,INTERNASIONAL,334069
202001,CGK-SMQ,DOMESTIK,5164
202001,CGK-SOC,DOMESTIK,67260
202001,CGK-SOQ,DOMESTIK,23018
202001,CGK-SRG,DOMESTIK,146047
202001,CGK-SRI,DOMESTIK,7129
202001,CGK-SUB,DOMESTIK,317744
202001,CGK-SYD,INTERNASIONAL,20517
202001,CGK-SZX,INTERNASIONAL,8390
202001,CGK-TAS,INTERNASIONAL,1313
202001,CGK-TIM,DOMESTIK,5177
202001,CGK-TJQ,DOMESTIK,44385
202001,CGK-TKG,DOMESTIK,116352
202001,CGK-TNJ,DOMESTIK,17071
202001,CGK-TPE,INTERNASIONAL,36291
202001,CGK-TRK,DOMESTIK,8129
202001,CGK-TTE,DOMESTIK,16324
202001,CGK-UPG,DOMESTIK,231865
202001,CGK-XMN,INTERNASIONAL,7762
202001,CGK-YIA,DOMESTIK,5239
202001,CGO-DPS,INTERNASIONAL,5394
202001,CJN-HLP,DOMESTIK,140
202001,CNS-DPS,INTERNASIONAL,5778
