tahun,propinsi,nama_bandara,kota,tipe_penerbangan,pesawat_datang,pesawat_berangkat,penumpang_datang,penumpang_berangkat,penumpang_total,penumpang_transit,barang_total_kg,bagasi_total_kg
2020,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,DOMESTIK,1809.0,1813.0,157995.0,165534.0,323529.0,532.0,5332345.0,1736867.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,DOMESTIK,1951.0,1955.0,154921.0,163993.0,318914.0,986.0,7413012.0,2302614.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,DOMESTIK,3.0,3147.0,205223.0,209629.0,414852.0,17.0,7013535.0,3508961.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,DOMESTIK,2472.0,2466.0,265205.0,279654.0,544859.0,56.0,4661654.0,4158138.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,DOMESTIK,3446.0,3504.0,291961.0,327289.0,619.0,54.0,8077952.0,5018724.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,INTERNASIONAL,293.0,289.0,27505.0,26096.0,53601.0,3727.0,10813.0,486379.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,INTERNASIONAL,35.0,34.0,0.0,6.0,6.0,1379.0,24537.0,0.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,INTERNASIONAL,107.0,91.0,8295.0,8926.0,17221.0,0.0,68.0,232403.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,INTERNASIONAL,645.0,647.0,66208.0,76846.0,143054.0,0.0,14468.0,1248375.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,SULTAN ISKANDAR MUDA,BANDA ACEH,INTERNASIONAL,889.0,880.0,99542.0,109063.0,208605.0,0.0,36298.0,2097143.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,CUT NYAK DHIEN,NAGAN RAYA,DOMESTIK,123.0,123.0,5557.0,5055.0,10612.0,0.0,3874.0,32665.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,CUT NYAK DHIEN,NAGAN RAYA,DOMESTIK,18.0,18.0,847.0,855.0,1702.0,0.0,0.0,8506.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,CUT NYAK DHIEN,NAGAN RAYA,DOMESTIK,126.0,126.0,6537.0,7079.0,13616.0,0.0,0.0,79.0
