maskapai_id,tahun,aircraft_km_ribuan,aircraft_departures,aircraft_hours_minutes,passengers_carried,freight_carried_ton,passenger_km_ribuan,available_seat_km_ribuan,passenger_load_factor,ton_km_total_ribuan,available_ton_km_ribuan,weight_load_factor
ASI_PUJIASTUTI_AVIATION,2020,289.0,1661.0,73286.0,3740.0,11.0,705.0,3474.0,20.28,56.0,318.0,17.68
ASI_PUJIASTUTI_AVIATION,2021,276.0,1768.0,78631.0,9463.0,39.0,1528.0,3314.0,46.11,126.0,304.0,41.45
ASI_PUJIASTUTI_AVIATION,2022,383.0,2100.0,102458.0,12429.0,20.0,2342.0,4740.0,49.41,185.0,420.0,44.05
ASI_PUJIASTUTI_AVIATION,2023,528.0,2920.0,147414.0,15592.0,24.0,2808.0,6345.0,44.26,222.0,581.0,38.21
ASI_PUJIASTUTI_AVIATION,2024,641.0,3605.0,176285.0,8498.0,93.0,1488.0,8425.0,17.66,88.0,706.0,12.46
BATIK_AIR_INDONESIA,2020,67540.0,58027.0,5473612.0,6123017.0,45149.0,7192288.0,10794070.0,66.63,626207.0,1178205.0,53.15
BATIK_AIR_INDONESIA,2021,71032.0,59326.0,6492849.0,7260547.0,52852.0,8681206.0,11358612.0,76.43,769574.0,1240985.0,62.01
BATIK_AIR_INDONESIA,2022,86155.0,77432.0,9020370.0,9882953.0,50980.0,10920223.0,13646381.0,80.02,925868.0,1481387.0,62.5
BATIK_AIR_INDONESIA,2023,101341.0,85507.0,10043001.0,10735964.0,66670.0,12739641.0,16060453.0,79.32,1092498.0,1740759.0,62.76
BATIK_AIR_INDONESIA,2024,84310.0,74619.0,8419504.0,9692694.0,67714.0,11033261.0,13306839.0,82.91,956937.0,1426098.0,67.1
BBN_AIRLINES_INDONESIA,2024,209.0,367.0,40209.0,34423.0,204.0,19839.0,39921.0,49.7,1517.0,3899.0,39.0
CARDIG_AIR,2020,345.0,241.0,28414.0,,2162.0,,,,3028.0,6255.0,48.4
CARDIG_AIR,2021,1045.0,910.0,96424.0,,7819.0,,,,8247.0,19338.0,42.65
CARDIG_AIR,2022,1466.0,976.0,126271.0,,8674.0,,,,13511.0,27458.0,49.21
CARDIG_AIR,2023,49.0,32.0,4135.0,,219.0,,,,364.0,907.0,40.13
CITILINK_INDONESIA,2020,54602.0,65467.0,6291606.0,5421720.0,57849.0,4670571.0,9805988.0,47.63,489361.0,1195305.0,40.94
CITILINK_INDONESIA,2021,70260.0,79502.0,8220111.0,7524408.0,87858.0,6933346.0,10973158.0,63.18,713483.0,1503666.0,47.45
CITILINK_INDONESIA,2022,60170.0,68596.0,7274130.0,9159775.0,69224.0,8158958.0,10419270.0,78.31,803819.0,1287441.0,62.44
CITILINK_INDONESIA,2023,69056.0,83171.0,8601846.0,11228261.0,63719.0,9706456.0,12116734.0,80.11,998725.0,1466953.0,68.08
CITILINK_INDONESIA,2024,72006.0,84779.0,8882894.0,11778454.0,83622.0,10283456.0,12730027.0,80.78,1083489.0,1550218.0,69.89
GARUDA_INDONESIA,2020,61804.0,65485.0,6856969.0,4619487.0,115598.0,4379314.0,10006693.0,43.76,538612.0,1235813.0,43.58
GARUDA_INDONESIA,2021,81668.0,43098.0,5151550.0,3490812.0,95726.0,7057706.0,14789319.0,47.72,826559.0,1871121.0,44.17
GARUDA_INDONESIA,2022,69002.0,33955.0,4040065.0,4646651.0,69293.0,9692687.0,12121203.0,79.96,1015890.0,1494386.0,67.98
GARUDA_INDONESIA,2023,95822.0,47166.0,5578300.0,6314490.0,71634.0,13029095.0,16643724.0,78.28,1072228.0,1974871.0,54.29
GARUDA_INDONESIA,2024,124278.0,60736.0,7263602.0,8665055.0,100226.0,18085561.0,21476363.0,84.21,1503433.0,2480801.0,60.6
INDONESIA_AIRASIA,2020,8127.0,9674.0,933127.0,1113480.0,7060.0,937058.0,1462864.0,64.06,91780.0,134909.0,68.03
INDONESIA_AIRASIA,2021,5838.0,5596.0,616045.0,637453.0,6197.0,683196.0,1050831.0,65.01,68614.0,96910.0,70.8
INDONESIA_AIRASIA,2022,12419.0,12676.0,1329245.0,1676437.0,10704.0,1652465.0,2235372.0,73.92,161582.0,206153.0,78.38
INDONESIA_AIRASIA,2023,11555.0,13246.0,1267505.0,2017452.0,6990.0,1753342.0,2079894.0,84.3,139429.0,196477.0,70.96
INDONESIA_AIRASIA,2024,9803.0,11314.0,1062280.0,1796152.0,6118.0,1563540.0,1764542.0,88.61,123744.0,164749.0,75.0
LION_MENTARI_AIRLINES,2020,82071.0,88742.0,9258354.0,12516590.0,75941.0,11362683.0,16870559.0,67.35,885745.0,1738787.0,50.94
LION_MENTARI_AIRLINES,2021,63146.0,66371.0,6502528.0,9893130.0,55080.0,9371102.0,12998517.0,72.09,721892.0,1323362.0,54.55
LION_MENTARI_AIRLINES,2022,113102.0,115448.0,11735690.0,18731962.0,80391.0,18296150.0,23270598.0,78.62,1383648.0,2382187.0,58.08
LION_MENTARI_AIRLINES,2023,106266.0,109769.0,11169172.0,18287883.0,87441.0,17640978.0,21995634.0,80.2,1346407.0,2258612.0,59.61
LION_MENTARI_AIRLINES,2024,91685.0,92749.0,9459124.0,15684878.0,94419.0,15461262.0,19212177.0,80.48,1195169.0,1977847.0,60.43
MY_INDO_AIRLINES,2020,589.0,2071.0,56223.0,,20319.0,,,,5413.0,8333.0,64.96
MY_INDO_AIRLINES,2021,899.0,3149.0,127297.0,,20271.0,,,,5767.0,12234.0,47.14
